C,SETP.WORLD,CO2EII_RESULTS_SUMMARY,AEMO,PUBLIC,05/01/2016,10:59:34,267518457,,267518454,
D,CO2EII,PUBLISHING,1,2015,32,04/08/2015 00:00,TAS1,47187.85415,15.52950393,0.0003
D,CO2EII,PUBLISHING,1,2015,32,04/08/2015 00:00,VIC1,146013.2715,162554.6874,1.1133
D,CO2EII,PUBLISHING,1,2015,32,05/08/2015 00:00,NEM,577796.6682,476590.5706,0.8248
D,CO2EII,PUBLISHING,1,2015,32,05/08/2015 00:00,NSW1,202724.7105,174346.2714,0.86
D,CO2EII,PUBLISHING,1,2015,32,05/08/2015 00:00,QLD1,148256.8401,129983.7223,0.8767
D,CO2EII,PUBLISHING,1,2015,32,05/08/2015 00:00,SA1,37611.03061,12261.99645,0.326
D,CO2EII,PUBLISHING,1,2015,32,05/08/2015 00:00,TAS1,44054.33405,33.59382362,0.0008
D,CO2EII,PUBLISHING,1,2015,32,05/08/2015 00:00,VIC1,145149.753,159964.9867,1.1021
D,CO2EII,PUBLISHING,1,2015,32,06/08/2015 00:00,NEM,569568.1939,496095.9186,0.871
D,CO2EII,PUBLISHING,1,2015,32,06/08/2015 00:00,NSW1,197734.4459,177038.0919,0.8953
D,CO2EII,PUBLISHING,1,2015,32,06/08/2015 00:00,QLD1,152457.1476,132626.8571,0.8699
D,CO2EII,PUBLISHING,1,2015,32,06/08/2015 00:00,SA1,30563.27352,21266.64875,0.6958
D,CO2EII,PUBLISHING,1,2015,32,06/08/2015 00:00,TAS1,44530.23444,169.9141323,0.0038
D,CO2EII,PUBLISHING,1,2015,32,06/08/2015 00:00,VIC1,144283.0925,164994.4067,1.1435
D,CO2EII,PUBLISHING,1,2015,32,07/08/2015 00:00,NEM,564366.3013,510058.4239,0.9038
D,CO2EII,PUBLISHING,1,2015,32,07/08/2015 00:00,NSW1,195743.5118,179919.7023,0.9192
D,CO2EII,PUBLISHING,1,2015,32,07/08/2015 00:00,QLD1,156666.9933,136348.028,0.8703
D,CO2EII,PUBLISHING,1,2015,32,07/08/2015 00:00,SA1,29284.33915,23663.40494,0.8081
D,CO2EII,PUBLISHING,1,2015,32,07/08/2015 00:00,TAS1,43301.81103,100.5279996,0.0023
D,CO2EII,PUBLISHING,1,2015,32,07/08/2015 00:00,VIC1,139369.6461,170026.7606,1.22
D,CO2EII,PUBLISHING,1,2015,32,08/08/2015 00:00,NEM,512447.2533,464516.2612,0.9065
D,CO2EII,PUBLISHING,1,2015,32,08/08/2015 00:00,NSW1,176017.2736,163134.5672,0.9268
D,CO2EII,PUBLISHING,1,2015,32,08/08/2015 00:00,QLD1,143171.7647,123800.3699,0.8647
D,CO2EII,PUBLISHING,1,2015,32,08/08/2015 00:00,SA1,24805.57868,15117.90729,0.6095
D,CO2EII,PUBLISHING,1,2015,32,08/08/2015 00:00,TAS1,41816.68362,56.49726106,0.0014
D,CO2EII,PUBLISHING,1,2015,32,08/08/2015 00:00,VIC1,126635.9527,162406.9196,1.2825
D,CO2EII,PUBLISHING,1,2015,33,09/08/2015 00:00,NEM,497905.433,442099.3887,0.8879
D,CO2EII,PUBLISHING,1,2015,33,09/08/2015 00:00,NSW1,162360.0519,151338.5474,0.9321
D,CO2EII,PUBLISHING,1,2015,33,09/08/2015 00:00,QLD1,136382.7923,120781.5035,0.8856
D,CO2EII,PUBLISHING,1,2015,33,09/08/2015 00:00,SA1,37162.278,10963.71153,0.295
D,CO2EII,PUBLISHING,1,2015,33,09/08/2015 00:00,TAS1,33310.36756,37.87339268,0.0011
D,CO2EII,PUBLISHING,1,2015,33,09/08/2015 00:00,VIC1,128689.9432,158977.7528,1.2354
D,CO2EII,PUBLISHING,1,2015,33,10/08/2015 00:00,NEM,537990.6407,452846.6066,0.8417
D,CO2EII,PUBLISHING,1,2015,33,10/08/2015 00:00,NSW1,179621.5949,157375.1627,0.8761
D,CO2EII,PUBLISHING,1,2015,33,10/08/2015 00:00,QLD1,144443.5204,126831.7575,0.8781
D,CO2EII,PUBLISHING,1,2015,33,10/08/2015 00:00,SA1,38510.07806,11544.37289,0.2998
D,CO2EII,PUBLISHING,1,2015,33,10/08/2015 00:00,TAS1,36359.32671,26.66188338,0.0007
D,CO2EII,PUBLISHING,1,2015,33,10/08/2015 00:00,VIC1,139056.1207,157068.6516,1.1295
D,CO2EII,PUBLISHING,1,2015,33,11/08/2015 00:00,NEM,544157.8753,463884.9201,0.8525
D,CO2EII,PUBLISHING,1,2015,33,11/08/2015 00:00,NSW1,183789.192,163086.64,0.8874
D,CO2EII,PUBLISHING,1,2015,33,11/08/2015 00:00,QLD1,142297.759,125407.1297,0.8813
D,CO2EII,PUBLISHING,1,2015,33,11/08/2015 00:00,SA1,39820.77467,11347.67066,0.285
D,CO2EII,PUBLISHING,1,2015,33,11/08/2015 00:00,TAS1,37853.04204,2.19536778,0.0001
D,CO2EII,PUBLISHING,1,2015,33,11/08/2015 00:00,VIC1,140397.1076,164041.2843,1.1684
D,CO2EII,PUBLISHING,1,2015,33,12/08/2015 00:00,NEM,552223.3356,481179.5291,0.8713
D,CO2EII,PUBLISHING,1,2015,33,12/08/2015 00:00,NSW1,194042.3132,172205.4433,0.8875
D,CO2EII,PUBLISHING,1,2015,33,12/08/2015 00:00,QLD1,139453.0472,122775.0728,0.8804
D,CO2EII,PUBLISHING,1,2015,33,12/08/2015 00:00,SA1,36149.27509,12930.1252,0.3577
D,CO2EII,PUBLISHING,1,2015,33,12/08/2015 00:00,TAS1,39633.73382,2.17137721,0.0001
D,CO2EII,PUBLISHING,1,2015,33,12/08/2015 00:00,VIC1,142944.9663,173266.7164,1.2121
D,CO2EII,PUBLISHING,1,2015,33,13/08/2015 00:00,NEM,551106.5868,482996.6137,0.8764
D,CO2EII,PUBLISHING,1,2015,33,13/08/2015 00:00,NSW1,195435.5752,170902.8909,0.8745
D,CO2EII,PUBLISHING,1,2015,33,13/08/2015 00:00,QLD1,144460.2702,126184.0439,0.8735
