Id,Name,Registration date,Change Date
408,EDISON MISSION ENERGY AUSTRALIA LIMITED & LABTROBE POWER PTY LTD & MISSION ENERGY VENTURES AUSTRALIA PTY LTD & TRARALGON POWER PTY LTD,,
409,IPM AUSTRALIA LIMITED IPM VENTURES AUSTRALIA PTY LTD,,
410,IPM AUSTRALIA LIMITED & IPM VENTURES AUSTRALIA PTY LTD & LATROBE POWER PTY. LTD. & TRARALGON POWER PTY. LTD,,
411,IPM AUSTRALIA LIMITED & OTHERS,,
412,Kiata Wind Farm Pty Ltd,,
413,LANDFILL MANAGEMENT SERVICES PTY LTD,,
414,LMS GENERATION PTY LTD,,
415,LMS ENERGY Pty Ltd,,
416,Melbourne Water,,
417,Mortons Lane Windfarm Pty Ltd,,
418,WestWind Energy Pty Ltd,,
419,The Trustee for the Murra Warra Project Trust,,
420,The Trustee for the Murra Warra II Project Trust,,
421,The Trustee for the Murra Warra Project Hold Trust,,
422,The Trustee for Murra Warra II Project Hold Trust ,,
423,Oaklands Hill Wind farm pty ltd,,
424,Origin Energy Power Limited,,
425,ORIGIN ENERGY LIMITED,,
426,ORIGIN FUTURE ENERGY PTY LIMITED,,
427,BORAL ENERGY HOLDINGS LIMITED,,
428,ORIGIN ENERGY HOLDINGS PTY LIMITED,,
429,ORIGIN ENERGY DARLING DOWNS SOLAR FARM PTY LTD,,
430,DARLING DOWNS SOLAR FARM PTY LTD,,
431,ORIGIN ENERGY METERING COORDINATOR PTY LTD,,
432,Element Partners Pty Ltd,,
433,Overland Sun Farming Pty Ltd,,
434,Pacific Hydro Challicum Hills Pty Ltd,,
435,Pacific Hydro Portland Wind Farm Pty Ltd,,
436,Pyrenees Wind Energy Developments,,
437,Snowy Hydro Limited,,
438,Solar PowerStations Victoria Pty Ltd,,
439,South East Water Corporation,,
440,SOUTH EAST WATER LIMITED,,
441,THEWHITELIGHT ORGANISATION PTY LTD,,
442,TODAE ENVIRONMENTAL PTY LTD,,
443,TODAE SOLAR PTY LTD,,
444,TILT RENEWABLES AUSTRALIA PTY LTD,,
445,KIAMAL SOLAR FARM PTY LTD,,
446,TOTAL EREN AUSTRALIA PTY LTD,,
447,LOCAL AUTHORITIES SUPER PTY LTD,,
448,VISION SUPER PTY LTD,,
449,Westwind Energy Pty Ltd/Northleaf /InfraRed/Macquarie Capital,,
450,Winton Asset Trust Fotowatio Renewable Ventures - The Trustee for Winton Asset Trust,,
451,BENALLA SUSTAINABLE FUTURE GROUP INC.,,
452,Benalla District Environment Group Inc.,,
453,IRONSTONE CAPITAL PTY. LTD. - Woolsthorpe Wind Farm Pty Ltd,,
454,ENERFIN ENERGY SERVICES PTY LTD - Woolsthorpe Wind Farm Pty Ltd,,
455,LOY YANG POWER MANAGEMENT PTY LTD,,
456,HORIZON ENERGY MANAGEMENT PTY. LTD,,
457,AGL LOY YANG PTY LTD,2012-03-04,2020-11-24
458,AGL Hydro Partnership ,,
459,TRUENERGY PTY LTD,2000-04-27,2012-11-03
460,ENERGYAUSTRALIA PTY LTD,,
461,TRUENERGY YALLOURN PTY LTD,2000-02-24,2012-10-03
462,ENERGYAUSTRALIA YALLOURN PTY LTD,2012-10-03,2020-11-24
