ConsumerUnit,Time (month),Consumption (MWh),Tariff (c/KWh),GHG Emissions (tCO2-e),Number of Domestic Consumers (households)
1,2018-02-01,1149414.3405,75.98613739013672,262738.09450342914,2574651.0
1,2018-03-01,1197215.3835,75.90637969970703,441085.1802057786,2577787.0
1,2018-04-01,1118763.561,97.405517578125,699144.763375773,2580923.0
1,2018-05-01,1278836.0685,99.32406616210938,1062646.5129557564,2584059.0
1,2018-06-01,1307422.3154999998,99.13835144042969,1141594.849456188,2587195.0
1,2018-07-01,1402512.45,98.85536193847656,1151877.7550936677,2590331.0
1,2018-08-01,1368073.4205,98.64588165283203,984612.1908713354,2593467.0
1,2018-09-01,1213547.4375,95.7785415649414,581616.7920692688,2596603.0
1,2018-10-01,1180538.8875,74.68257141113281,274777.76332559495,2599739.0
1,2018-11-01,1125778.6515,74.61785888671875,234562.8139357973,2602875.0
1,2018-12-01,1206138.3569999998,74.56999969482422,140333.19944881354,2606011.0
